logM, logSFR
10.49376, 0.5847256
10.11132, 0.6426357
10.11935, 0.6786169
10.62703, 0.9390393
10.79986, 1.469665
10.30168, 0.8543623
10.1488, 0.6816507
10.11258, 0.4727178
10.60034, 0.8056355
10.55603, 0.7293444
10.56416, 0.9241455
10.79738, 1.037781
10.54124, -0.9428697
10.2985, 0.6941074
10.26029, 1.032366
10.02532, 0.3258621
10.50564, 1.401454
10.19087, 0.4876199
10.14214, 0.4619825
10.4986, -1.233291
10.9023, 0.4235544
11.11444, 0.5974854
10.09714, 0.8496997
10.51235, -0.08268307
10.13606, 0.3444015
10.47102, 0.006250226
10.25506, 0.7884252
10.77063, 0.2429037
10.73591, 0.397679
10.62252, 1.027553
10.0124, 0.2741881
10.29596, 0.4793625
10.39856, 0.2210838
10.24983, 0.6775541
10.20535, 0.6540384
10.73724, 0.6296422
10.45933, 0.2991196
10.3013, 0.9070103
10.62376, 0.6469705
10.55834, 0.9455109
10.33767, 0.360186
10.29297, 0.5355899
10.09158, 0.6360693
10.24199, 0.4211011
11.01358, -0.06333111
10.38157, -1.013305
10.67289, 1.575225
10.09045, 0.9974779
10.14326, 0.5189728
11.61507, -1.078382
10.10343, 0.4330268
10.12255, 0.1985984
10.04312, -1.239043
10.31667, 0.4655139
10.49249, 1.081948
10.27104, 1.019343
10.20093, 0.934346
11.16775, 1.030261
10.17508, 0.5247228
10.40211, 0.7596402
11.09084, -0.7085667
10.41622, 0.8097294
10.21775, 0.5220782
10.82696, -0.1759607
10.33997, 0.6567931
10.38637, 0.7207956
10.34387, 0.7986099
10.17243, 0.3990759
10.39369, 1.040211
10.58669, 0.8960035
10.50859, 1.162818
10.76752, 0.02315314
10.03032, 0.4292293
10.32856, 1.049121
10.41676, 0.8325377
10.61456, 1.351983
10.08839, 0.3791289
10.05087, -0.340497
10.70466, 1.166167
10.22507, 0.6510257
10.94449, 1.364711
10.36531, 0.4560696
10.54168, 0.61
10.74209, -0.6270194
10.4537, 1.10366
10.43499, 0.7271029
10.45507, -0.8819835
11.09405, 1.796281
10.53359, -0.8010414
10.29589, 0.6680096
10.57784, 0.2938447
10.43091, 0.9834662
10.29849, 0.8918564
10.65027, 1.076741
10.24741, 0.7017244
10.43774, 0.4562527
10.60972, -0.5794691
10.7071, -0.8927959
10.5132, 0.9955333
10.64075, 0.5753165
10.57884, 0.871519
10.01937, 0.3135111
10.76779, -0.2959883
10.07669, 0.8353493
10.58395, 0.2089837
10.12511, -0.3244443
10.52144, 0.9508389
10.32892, 0.697335
10.33973, 0.7677482
10.01036, 0.4922183
10.33762, -0.3358649
10.27734, 0.8002461
10.51214, 0.7258492
10.58793, 1.174949
10.14268, 0.5450996
10.06167, 0.6206408
10.80422, 1.504661
10.12819, 1.036311
10.29261, 0.673186
10.39632, 0.8991198
10.0644, 0.4156071
10.72744, 0.6677306
10.06315, 0.6256903
10.30403, 0.4315121
10.10135, 0.625
10.39337, 0.1012299
10.33571, 0.737442
10.43451, 0.453821
10.60056, 1.126205
10.81123, -0.2145625
10.07684, 0.5334182
10.08789, 0.5154495
10.341, 0.9607145
10.35721, 0.8873612
10.84023, 0.8939858
10.16011, 0.3639024
10.74301, 1.26649
10.13435, 0.2820424
10.20578, 0.542819
10.02146, 0.5968216
10.65079, -0.3587945
10.87877, 1.493587
10.45483, 1.14289
10.01096, 0.3310694
10.33517, 0.3060748
11.47116, 0.9410845
10.24141, 0.666701
10.10604, 0.7571633
10.0183, 0.4475064
10.34663, 0.8484796
10.7362, 0.5918087
10.59262, 0.02453522
10.27697, 0.6033441
11.12103, 0.8518037
10.07672, 0.6949863
10.06352, 0.8470312
10.3417, 0.6827724
10.30744, 0.8495914
11.06514, -0.2677681
10.56059, -0.8481307
10.08818, 0.5305778
10.00076, 0.8627516
10.23312, 0.741869
10.00924, 0.7400059
10.37104, 0.9625906
10.39239, 0.8633503
10.17302, 0.7834793
10.38319, 0.5230707
10.39252, 0.5085804
